Word	Occurrences
greed	2
greedy	3
green	11
greeting	7
greetings	1
grew	3
grey	1
grief	10
grieve	36
grieved	4
grieves	3
grievous	88
grievously	1
grin	1
grip	1
gripped	1
groan	2
groans	1
groping	1
grossly	1
ground	13
grounded	2
group	8
grovelling	1
groves	1
grow	16
groweth	2
growing	3
grown	2
grows	4
growth	6
grudgingly	1
guarantees	2
guard	36
guarded	13
guardian	16
guardians	5
guardianship	2
guarding	4
guards	2
guessing	1
guests	5
guidance	132
guide	77
guided	40
guides	25
guideth	13
guiding	3
guilt	6
guiltless	2
guilty	16
gulps	1
gush	6
gushed	3
gushing	1
gusts	1
ha	9
habit	4
habitations	8
habitual	1
habitually	1
hadst	8
hail	1
hair	6
hajj	5
half	9
hallowed	1
halt	1
ham	3
haman	6
hamlet	1
hamstrung	2
hand	57
handedness	1
handful	3
handiwork	2
handmaidens	1
hands	83
handsome	5
handwork	2
handy	1
hang	3
hanging	2
hanker	1
hankers	1
haply	1
happen	5
happened	5
happens	6
happiness	4
happy	2
harboured	1
hard	20
hardened	4
hardens	1
harder	1
hardest	1
hardly	1
hardness	2
hardship	1
hardships	2
harm	41
harmed	3
harms	1
harsh	2
harshest	1
harshness	3
harut	1
harvest	6
harvests	2
hast	76
haste	10
hasten	24
hastened	9
hastening	1
hastens	1
hasty	1
hatched	1
hate	6
hated	2
hateful	2
hateth	1
hath	300
hatred	9
haughty	6
haunts	1
having	16
head	10
headed	1
headiness	1
headlong	8
heads	12
heal	2
healest	1
healing	4
health	2
heap	4
heaped	3
heaps	1
hear	56
heard	21
hearer	2
hearest	1
heareth	26
hearing	21
hearken	13
hearkened	1
hearkens	2
hears	18
hearsay	1
heart	49
hearted	4
heartedly	2
hearts	159
heat	12
heaven	49
heavens	200
heavily	3
heaving	1
heavy	19
heed	18
heeded	6
heedless	7
heels	7
heifer	6
heifers	1
height	4
heights	3
heinous	2
heir	5
heirs	10
held	18
hell	95
help	91
helped	12
helper	20
helpers	15
helping	1
helpless	2
helps	7
hem	2
hemmed	5
heralds	6
herbage	2
herbs	2
herd	1
herded	1
herds	1
hereafter	118
heritage	4
hew	1
hid	2
hidden	34
hide	26
high	50
higher	3
highest	16
highway	2
highways	3
hill	1
hills	6
hinder	14
hindered	5
hindering	2
hindwards	1
hither	3
hitherto	1
hoard	2
hoards	2
hoary	2
hold	46
holdest	1
holding	3
holds	3
hollow	2
holy	16
home	46
homes	37
homing	1
honey	1
honour	32
honourable	13
honourably	1
honoured	7
honours	2
hoof	1
hoopoe	2
hope	33
hopeless	1
hopes	6
hoping	1
horizon	2
horror	3
horses	2
hospitable	2
hospitality	2
host	2
hostile	2
hostility	4
hosts	12
hot	3
hour	54
hours	2
house	27
household	6
houses	22
hovers	1
hud	8
hue	1
huge	4
human	12
humble	9
humbled	8
humblest	1
humbly	2
humiliated	6
humiliating	14
humiliation	8
humility	19
hunain	1
hunger	7
hungry	1
hunt	1
hunting	1
hurl	1
hurricane	1
hurried	1
hurry	1
hurrying	2
hurt	11
husband	10
husbands	6
hypocrisy	3
hypocrites	29
iblis	16
iddat	4
idea	3
idle	5
idly	1
idol	1
idolaters	2
idols	10
idris	2
ifrit	1
ignominiously	1
ignominy	9
ignorance	13
ignorant	11
ignore	1
il	12
ill	34
illiterates	1
illiyin	1
illiyun	1
illness	2
ills	7
illustration	1
image	2
images	2
imagine	2
imagined	4
imam	1
imams	2
imbecile	2
imbecility	1
imitate	1
immanent	1
immature	1
immediate	2
immediately	1
immense	1
immovable	2
immunity	2
impatience	1
impatient	1
impatiently	1
impediment	1
impiety	6
impious	1
implore	2
implored	1
import	2
importance	1
important	1
importunately	1
imposed	2
impostors	2
impress	1
imprison	1
improve	4
impudently	1
impulse	2
impure	7
impurity	2
imran	3
ina	1
inaction	1
inactive	3
inanimate	1
incite	1
incited	1
incitement	1
inclination	2
incline	4
inclined	4
including	2
inconvenience	1
incorruptible	1
increase	24
increased	7
increases	6
increaseth	2
increasing	1
incur	2
incurred	2
incurs	1
independence	1
independent	1
indicated	1
indifferent	1
indigent	12
indignant	1
indignation	2
indiscreet	1
individual	2
indulge	1
indulged	3
inevitable	3
inevitably	3
inexhaustible	1
infamy	1
infant	1
infantry	1
infidelity	4
infinite	1
infirm	2
inflexible	1
inflict	3
inflicted	8
influence	1
inform	4
information	2
informed	2
infringed	1
ingrate	2
ingratitude	12
inhabitants	2
inherit	7
inheritance	12
inherited	2
inheritors	12
iniquities	7
iniquitous	1
iniquity	11
injure	2
injured	2
injures	1
injuring	1
injury	11
injustice	15
ink	2
inmost	2
inner	3
innocent	3
inordinate	4
inordinately	1
inscribed	8
inscription	1
inside	1
insides	2
insight	1
insolence	8
insolent	8
insolently	8
inspiration	45
inspire	2
inspired	9
inspiring	1
instance	1
instead	5
instigated	1
instil	1
instituted	1
institutions	1
instruct	6
instructed	1
instructing	3
instruction	10
instructive	4
instructs	1
insult	1
insulted	1
intellect	2
intelligence	5
intelligently	3
intend	8
intended	5
intends	4
intense	1
intensely	2
intent	4
intention	7
intentionally	3
intercede	4
intercession	12
intercessor	5
intercessors	5
interfere	1
intermit	1
interpret	1
interpretation	7
interrupting	1
intervals	1
intervene	2
intimacy	1
intimate	7
intoxicants	2
intoxicated	1
intoxication	3
intrigues	1
invent	14
invented	11
inventeth	2
inventing	1
invention	2
inventions	6
invents	5
invest	1
invested	1
investigate	2
investigators	1
invisible	1
invite	8
invited	5
invites	7
invitest	1
inviting	3
invoke	23
invoked	7
invokes	3
involved	1
involving	1
inward	2
iram	1
ire	1
iron	5
irresistible	10
irresistibly	1
irrevocably	1
isaac	16
islam	39
isma	12
israel	43
israelites	1
issue	7
issued	8
issues	2
jacob	19
jealous	1
jest	8
jesting	2
jesus	29
jew	2
jewish	4
jews	15
jinn	4
jinns	28
jizya	1
job	4
john	1
join	33
joined	23
joining	2
joins	4
joints	1
jonah	3
jonas	1
joseph	35
journey	15
journeying	1
journeys	3
joy	10
joyful	1
joyfully	1
judaism	1
judge	43
judged	4
judges	6
judgment	139
judgments	1
judi	1
jugular	1
junction	2
just	70
juster	2
justest	1
justice	43
justification	1
justify	3
justly	11
ka	2
kaf	1
kafur	1
keepers	5
keeping	2
keeps	2
kept	18
keys	5
kidnap	1
kifl	2
kill	6
killed	6
killing	1
kills	2
kiln	1
kin	9
kind	40
kindle	3
kindled	3
kindly	1
kindness	20
kindred	9
kinds	15
kine	2
king	13
kingdom	4
kings	2
kinsfolk	1
kinship	2
kinsmen	2
kith	2
knee	1
knees	2
knew	36
knewest	2
knife	1
knocks	1
know	225
knower	5
knowest	15
knoweth	97
knowing	25
knowingly	7
knowledge	178
known	19
knows	80
l	12
labour	5
labouring	1
lack	2
ladder	3
laden	4
ladies	7
lag	6
lagged	5
laid	6
lake	1
lam	1
lame	2
lament	1
lamp	5
lamps	2
lances	1
land	90
landed	1
landmark	1
lands	5
language	2
languages	1
lapse	1
large	5
largely	2
lasting	4
lat	1
late	2
lately	1
later	15
latest	1
laugh	6
laughed	1
laughing	4
laughter	1
launch	2
law	36
lawful	32
laws	5
lay	17
layer	2
layers	2
layeth	3
lays	2
lead	34
leader	6
leaders	10
leadest	1
leadeth	1
leading	5
leads	4
leaf	2
league	2
lean	4
learn	21
learned	4
learning	1
learns	1
learnt	1
lease	1
leave	115
leaves	21
leaveth	2
leaving	2
led	16
leech	3
left	64
leg	1
legacies	4
legacy	2
legal	1
legged	1
legs	4
lend	1
length	30
lengths	1
lentils	1
lepers	2
lesson	3
lessons	2
lest	50
let	165
lets	4
letter	2
level	2
levelled	1
lewdness	7
liability	1
liable	1
liar	10
liars	14
liberal	2
liberality	2
lice	1
lie	44
lied	4
lies	10
lieu	1
life	217
lifeless	2
lifetime	1
lift	2
light	78
lighted	1
lighten	2
lightened	6
lighting	1
lightly	2
lightning	8
lights	2
like	157
likely	1
likened	1
likeness	3
liketh	1
likewise	6
liking	1
limbs	1
limit	3
limited	2
limits	20
line	3
lineage	1
lingered	2
linings	1
lion	1
lips	5
liquid	1
listen	46
listened	11
listener	1
listenest	1
listening	2
listens	3
lit	4
little	56
live	20
lived	6
livelihood	6
lively	1
lives	11
living	23
lo	14
load	7
loaded	1
loads	1
loan	12
loathed	1
lock	1
locked	3
locusts	2
lodged	1
loftiest	1
lofty	14
loins	2
lolls	2
long	33
longer	5
longing	2
look	30
looked	4
lookest	2
looketh	2
looking	12
looks	1
loose	1
lord	976
lorded	1
lords	4
lose	11
losing	1
loss	26
lost	36
lot	10
lote	4
lots	2
loud	1
loudness	1
love	46
loved	1
lovers	2
loves	10
lovest	1
loveth	29
loving	4
low	14
lower	12
lowered	1
lowest	4
lowliness	1
lowly	4
luminous	1
lump	2
luqman	3
lurch	12
lurketh	1
lurking	2
luscious	1
lust	1
lustful	1
lustre	1
lustrous	3
lusts	13
lut	28
luxuriant	1
luxurious	1
luxury	1
lying	8
m	7
maces	1
mad	5
madly	1
madman	1
madness	3
madyan	8
magians	1
magic	14
magician	3
magicians	2
magnificent	5
magnify	2
magog	2
maidens	1
maids	1
mail	3
main	6
maintain	1
maintained	1
maintainers	1
maintenance	3
majestically	1
majesty	5
make	195
maker	4
makers	1
makes	35
makest	2
maketh	4
making	16
makka	2
male	19
males	4
malicious	1
malik	1
man	211
manage	1
manageable	1
managers	1
manat	1
manhood	1
manifest	49
manifested	1
manifestly	3
manifold	3
mankind	72
manna	3
manner	16
mansion	1
mansions	5
mantle	2
march	5
marched	1
marching	1
mark	7
marked	3
marks	6
marriage	15
married	4
marry	15
marrying	1
marshalled	4
martyr	1
martyrdom	1
martyrs	1
marut	1
marvel	2
marvellous	1
marwa	1
mary	34
mass	1
masse	1
masses	1
master	5
mastery	2
match	2
mate	3
material	3
maternal	1
mates	4
matter	67
matters	16
mature	1
maturity	2
maulas	1
maybe	1
mayest	16
mazes	1
mead	1
meads	1
meal	4
mean	1
meaner	1
meanest	4
meaning	9
meanings	2
means	60
meant	2
measure	42
measured	3
measures	1
meat	12
meats	3
mediate	1
medina	5
meditate	1
meditated	2
medley	1
medleys	1
meed	3
meeds	1
meet	29
meeting	26
meets	1
melancholy	1
melt	1
melted	1
members	5
memorial	1
memorials	1
memory	1
men	380
mend	6
mentally	1
mention	10
mentioned	10
merchandise	1
mercies	2
merciful	118
mercy	164
mere	7
merely	5
merges	8
merit	3
merits	2
message	116
messages	4
messenger	250
messengers	137
met	11
meted	1
metre	1
mettle	1
michael	1
middle	3
middling	1
midian	2
midst	30
midway	1
mightest	8
mightier	1
mighty	32
migrated	1
mildly	1
milk	4
mim	10
mind	35
minded	2
mindful	1
minds	12
mingled	2
mingling	1
minister	2
miracle	2
mirage	3
misappropriate	1
misappropriated	1
misbeliever	1
misbelievers	2
misbelieving	1
mischief	54
misdeeds	4
miser	1
miserable	11
misery	7
misfortune	9
misguided	1
mislead	8
misleaders	1
misleading	1
misleads	1
misled	10
miss	3
missed	1
missiles	1
mission	16
mist	1
mistake	2
mistakes	1
mistrust	1
mitigated	1
mix	1
mixed	4
mixing	1
mixture	2
mock	7
mocked	9
mockery	6
mocking	1
mode	1
model	1
moderate	1
modest	1
modesty	3
mohter	1
moisture	2
molest	2
molested	1
molten	4
moment	1
momentous	4
monasteries	1
monasticism	1
money	1
monger	1
mongers	1
monstrous	1
month	9
monthly	2
months	14
monument	1
moon	29
moons	1
morn	2
morning	43
mornings	2
morrow	5
morsel	1
mortal	4
mosaic	1
moses	176
mosque	18
mosques	4
mother	30
mothers	13
moths	1
motion	2
motionless	1
moulded	3
mouldeth	1
moulds	1
mount	22
mountain	8
mountains	39
mounted	1
mounting	1
mounts	4
mouth	1
mouths	10
moved	4
movements	1
moving	5
mown	3
mud	3
muhajirs	3
muhammad	4
mules	1
multiplied	9
multiply	2
multiplying	1
multitude	4
murder	3
murdered	1
murky	3
musk	1
muslim	5
muslims	11
mustard	2
muster	1
mutual	25
mutually	3
mysteries	7
mystery	4
mystic	4
naked	3
nakedness	1
named	4
names	14
narrated	1
narrowed	1
nasr	1
nation	2
nations	15
natural	1
nature	14
naught	13
nay	124
near	40
nearer	9
nearest	17
nearly	4
nearness	3
necessarily	3
necessary	2
necessitating	1
necessity	5
neck	3
necks	10
need	16
needful	1
needle	1
needs	14
needy	8
neglect	1
neglected	3
neglectful	1
negligent	2
neighbourhood	1
neighbouring	1
neighbourly	1
neighbours	3
nephew	1
new	22
newly	1
news	23
nicety	1
niche	1
nicknames	1
niggard	1
niggardliness	1
niggardly	7
nigh	16
nigher	1
night	106
nightly	1
nights	6
nineteen	1
ninety	1
nipping	1
noah	47
noble	6
noblest	1
noise	5
noised	1
non	1
nonsense	2
noonday	1
nose	2
notably	1
note	2
noted	2
notice	2
nourish	2
nourishment	1
nowise	3
number	27
numbered	4
numbers	5
numerous	9
nun	2
nurse	1
nutritious	1
o	446
oath	14
oaths	23
obedience	6
obedient	4
obeisance	3
obey	54
obeyed	5
obeyeth	1
obeys	4
object	7
obligations	5
obliterated	1
obscenity	1
obscure	1
obscured	2
obscurity	1
observance	1
observant	1
observe	6
observed	2
obstinate	15
obstinately	3
obstruct	3
obtain	2
obtained	1
obtaining	1
obvious	4
obviously	3
occasion	3
occasioned	1
occasions	2
occupants	1
occupation	1
occur	2
occurred	1
ocean	10
oceans	3
odd	1
odious	3
odium	1
offence	2
offensive	1
offer	11
offered	4
offering	9
offerings	2
offers	1
office	1
offices	2
offspring	12
oft	102
oh	5
oil	3
ointment	1
old	46
olive	2
olives	4
omen	4
omens	3
omitted	1
omnipotent	1
omniscient	1
ones	88
onions	1
onslaught	2
open	43
opened	12
openeth	1
opening	3
openly	14
opens	1
opinion	3
oppose	1
opposed	1
opposite	5
opposition	1
oppress	1
oppressed	7
oppression	10
oppressive	1
oppressors	2
option	1
orbit	1
orchard	1
orchards	1
ordain	3
ordained	28
ordainment	2
order	107
ordered	9
ordering	1
ordinances	2
ordinarily	1
ordinary	1
ore	1
origin	3
originate	2
originates	3
ornaments	8
orphan	7
orphans	16
ought	1
ourselves	38
outer	3
outlying	2
outside	5
outspread	1
outstretched	3
outstrip	1
overawe	1
overbearing	2
overcame	1
overcome	5
overflowed	1
overflowing	3
overlap	2
overlook	5
overreach	1
overshadowing	1
overspreads	1
overtake	2
overtaken	3
overtakes	1
overthrown	4
overtook	6
overwhelm	1
overwhelmed	13
overwhelming	2
owe	3
owes	1
owners	2
ox	1
oxen	1
pace	3
paddle	1
pagan	1
pagans	20
paid	7
pain	4
painfully	1
pains	2
pair	7
pairs	18
palace	5
palaces	2
palatable	2
palm	13
palms	7
paltry	1
panic	1
panting	1
parable	20
parables	8
paradise	4
paramours	1
parched	2
parchment	1
pardon	4
pardoned	1
parent	1
parents	26
partiality	1
particular	1
parties	12
parting	2
partisans	1
partition	2
partly	3
partner	5
partners	70
partnership	1
parts	3
party	31
pass	45
passed	32
passes	1
passeth	2
passing	2
passion	2
past	23
pastime	1
pasture	5
paternal	1
path	97
paths	6
patience	48
patient	21
patiently	15
patron	4
patrons	3
pattern	2
paved	1
pavilions	1
pay	18
payment	5
payments	2
peace	62
peaceful	1
pearls	6
pegs	1
pen	2
penalties	3
penalty	229
penetrate	1
penetrated	1
penitence	2
pens	2
people	515
peoples	22
perceive	21
perceived	4
perchance	15
perdition	11
perfect	8
perfected	3
perfection	3
perfidious	1
perfidy	1
perforce	1
perform	3
peril	1
period	17
periods	5
perish	26
perishable	1
perished	4
perjury	1
permanent	1
permanently	1
permissible	2
permission	18
permit	3
permits	3
permitted	11
permitteth	1
perpetual	8
persecute	2
persecutions	1
perseverance	4
persevere	21
persevered	3
perseveres	1
persevering	3
persist	4
persisted	6
persistent	1
persistently	1
persisting	1
person	20
personal	2
persons	25
perspicuous	5
pervading	1
perverse	3
perversely	1
perversity	1
pervert	1
perverted	3
pet	1
petition	2
petitioner	1
pharaoh	89
physical	1
picked	2
piece	4
pieces	13
piercing	2
piety	11
piled	2
pileth	1
pilgrim	4
pilgrimage	7
pilgrims	1
piling	1
pillars	3
pious	3
pit	4
pitch	1
pitched	2
place	91
placed	25
places	12
placeth	1
plague	2
plagues	1
plain	13
plainly	8
plains	2
plan	35
planets	1
planks	1
planned	6
planners	2
planneth	2
planning	2
plans	5
plant	3
planted	2
plants	3
play	12
played	1
plea	4
plead	6
pleaded	1
pleads	1
pleas	1
pleasant	2
pleased	21
pleases	31
pleasest	7
pleaseth	31
pleasing	8
pleasure	24
pleasures	1
pledge	4
pledged	1
plentiful	1
plenty	3
pliant	2
plied	1
plight	5
plighted	4
plot	14
plots	12
plotted	11
plotting	6
plough	2
plucking	2
plunge	3
plunged	3
poet	4
poetry	1
poets	1
point	12
pointed	1
points	3
poised	1
pollution	1
polytheists	4
pomegranates	3
pomp	2
ponder	1
poor	7
populated	1
population	9
populations	8
portents	2
portion	35
portions	2
position	12
positions	1
positively	1
possess	16
possessed	15
possesses	2
possession	5
possessions	7
possessors	2
possible	6
possibly	2
post	3
posterity	8
posts	3
posture	2
postures	2
pot	1
potent	1
pottery	1
pounded	1
pour	13
poured	5
pouring	3
poverty	4
powder	3
power	192
powerful	10
powerless	5
powers	1
practice	8
practise	29
practised	7
practises	1
practising	2
praise	63
praised	1
praises	45
pray	27
prayed	15
prayer	93
prayers	31
praying	3
preach	8
preachers	1
preaching	3
precaution	3
precautions	3
preceded	1
precepts	2
precincts	6
precious	1
precisely	1
predecessors	3
prefer	5
preference	5
preferred	7
pregnant	1
preparation	3
prepare	1
prepared	31
prepares	1
prescribe	1
prescribed	20
presence	52
present	26
presented	2
preserve	9
preserved	4
preserver	1
preserving	1
press	5
pressing	1
presumption	1
pretence	2
pretend	2
pretender	1
prevail	5
prevailed	2
prevails	1
prevent	6
prevented	4
prevention	1
prevents	1
previous	5
previously	1
prey	1
price	12
pride	8
pried	1
priests	2
primal	2
prior	2
prison	11
prisoners	3
private	11
privately	1
privation	1
prize	1
proceed	2
proceeded	3
proceeding	3
process	5
procession	1
proclaim	23
proclaimed	4
proclaiming	1
proclamation	1
produce	38
produced	16
produces	5
produceth	1
producing	2
profanity	2
profess	1
professing	1
profit	44
profited	4
profitless	1
profits	4
profound	1
progeny	12
prohibited	9
prohibiting	1
prohibition	2
prohibitions	3
prohibits	1
prolong	1
prolonged	3
prominent	1
promise	71
promised	46
promises	6
promiseth	1
promulgate	1
promulgated	2
prone	3
pronounce	3
pronounced	6
proof	6
proofs	2
proper	7
property	21
prophecies	3
prophet	64
prophethood	4
prophetic	1
prophets	23
proportion	13
proportions	6
propound	3
propounded	1
propped	1
prospect	1
prosper	26
prospereth	1
prosperity	8
prostitution	1
prostrate	36
prostrated	5
prostrating	4
prostration	7
prostrations	1
protect	17
protected	1
protection	9
protector	39
protectors	28
protects	1
proud	1
prove	6
proved	14
proves	1
provide	19
provided	42
provides	4
provideth	1
providing	4
provision	16
provisions	4
provoked	1
prowess	1
psalms	3
public	7
publicly	4
publish	2
published	1
puff	1
puffed	3
pulled	1
punish	39
punished	12
punishes	2
punisheth	4
punishment	134
punishments	5
purchase	3
purchased	2
pure	32
purely	1
purer	1
purest	1
purge	2
purification	1
purified	7
purifies	2
purify	7
purity	15
purpose	21
pursue	1
pursued	8
pursuing	1
pursuit	4
push	1
puts	4
putteth	1
putting	1
qaf	2
qarnain	3
qarun	4
qibla	6
qisas	1
quails	3
quake	1
quaking	1
qualities	1
quantity	1
quarrel	2
quarrelling	1
quarrelsome	1
quarter	1
quarters	1
queen	1
quenched	2
quest	2
question	19
questioned	7
questioner	1
questions	8
quick	6
quicken	1
quicker	1
quickly	2
quiet	4
quietly	2
quintessence	2
quit	1
quite	11
qur	82
quraish	5
r	6
ra	1
rabbis	2
race	8
raced	1
racing	2
raffling	1
rage	5
raging	2
rahman	1
raiment	3
rain	44
rained	6
raise	32
raised	63
raising	2
ramadhan	1
ran	1
rancour	6
random	1
range	1
ranged	2
ranging	1
rank	11
ranks	34
ransom	12
ransomed	1
rapid	1
rass	2
ratified	3
raven	2
reach	42
reached	32
reaches	15
reacheth	2
reaching	6
read	12
reader	1
readily	2
reading	6
ready	15
real	8
realise	11
realised	4
reality	15
really	26
realm	1
reap	3
rear	5
reared	1
reason	11
reasonable	11
reasoning	1
reasons	1
reassure	1
rebel	4
rebelled	4
rebellion	10
rebellious	29
rebuke	2
recede	1
receive	85
received	39
receives	3
receiveth	3
receiving	4
recently	1
recesses	2
recital	5
recitals	1
recite	8
recited	5
reciting	1
reckon	1
reckoned	3
reckoning	13
recline	7
reclining	4
recognise	5
recognised	4
recogniseth	2
recognition	2
recollection	1
recommends	2
recompense	34
recompensed	4
reconciled	1
reconciliation	4
record	34
recorded	6
records	1
recount	2
recovered	1
recriminations	1
rectitude	2
red	3
redeem	1
reduce	5
reduced	3
refer	1
referred	3
reflect	10
reform	1
refractory	1
refrain	3
refresh	1
refreshing	1
refuge	25
refugee	1
refugees	1
refuse	16
refused	10
regained	1
regard	6
regardeth	1
regards	2
regions	1
register	2
regrets	5
regular	65
regulate	1
regulates	1
regulating	1
rehearse	17
rehearsed	22
rehearses	1
rehearsing	7
reject	177
rejected	101
rejecter	1
rejecters	20
rejecteth	2
rejecting	11
rejection	10
rejects	8
rejoice	14
rejoiced	1
rejoices	1
rejoicing	6
relapse	1
relate	11
related	4
relation	1
relations	4
relationship	2
relationships	2
relative	1
relatives	5
relax	1
release	3
released	2
releases	1
reliable	1
relics	1
relief	4
relieves	1
religion	60
religious	1
relish	1
remain	15
remained	9
remaining	1
remains	5
remember	77
remembered	1
remembrance	37
remind	2
reminded	1
reminder	2
reminders	2
remission	2
remit	4
remits	1
remitted	1
remnant	2
remnants	1
remote	3
remove	25
removed	16
removes	1
remuneration	1
rend	1
render	9
rendered	2
renders	1
renegades	1
renewed	3
renounced	1
rent	7
repaid	2
repaired	1
reparation	1
repay	2
repeat	3
repeated	5
repeatedly	3
repeateth	2
repeating	1
repeats	5
repel	4
repelling	1
repent	18
repentance	34
repented	5
repents	3
repetition	1
replaces	1
replete	1
replied	8
reply	14
reported	1
repose	4
represent	2
reproach	5
reproaches	1
reproaching	1
repudiated	1
repulse	1
repulsed	1
repulses	1
require	2
required	1
requiring	1
requisite	1
requital	10
requite	6
requited	5
rescue	1
rescued	3
reservation	1
reserve	1
reserved	1
reservoirs	1
reside	1
residence	2
resist	8
resistance	1
resisted	1
resisteth	2
resisting	1
resists	1
resolution	1
resolve	4
resolved	3
resort	1
resorting	1
resources	5
respect	14
respective	2
respectively	1
respects	1
respite	40
respited	1
respond	2
response	2
responsibility	5
responsible	4
rest	29
rested	1
resting	1
restore	8
restored	2
restores	1
restrain	7
restrained	5
restraining	5
restrains	1
restraint	10
restrict	1
restricted	2
restricting	1
restricts	6
rests	5
result	10
results	3
resurrection	20
retain	3
retaliated	1
retaliation	1
retired	1
retraced	2
retreat	8
retreateth	1
retribution	15
return	80
returned	15
returning	14
returns	3
reveal	27
revealed	75
revealing	2
reveals	1
revelation	62
revelations	8
revenge	1
revere	1
reverence	6
reversed	1
revert	4
revile	2
revive	1
revives	1
revolving	1
reward	158
rewarded	6
rewards	8
rhythmic	1
ribs	1
rich	10
riches	6
ride	3
ridicule	15
ridiculed	1
riding	2
right	176
righteous	117
righteousness	81
rightful	1
rightly	3
rights	5
rings	1
riot	1
ripe	1
ripeness	1
rise	8
rising	9
rites	6
rivalry	2
rivals	2
river	6
rivers	49
rivulet	1
road	6
roads	4
roasted	2
robe	1
rock	6
rocks	2
rocky	2
rod	8
rods	2
roll	1
rolled	2
roman	1
roof	2
roofs	3
room	4
root	2
roots	6
rope	5
ropes	3
rose	2
rotten	1
rottenness	1
round	30
rounded	1
rouse	2
roused	1
routed	1
rows	2
rub	3
rubbish	1
rubies	1
ruddy	1
ruin	14
ruined	4
ruins	3
rule	3
ruler	1
rules	2
ruling	1
run	11
running	8
runs	4
rush	6
rushed	2
rushing	3
s	249
saba	2
sabbath	7
sabians	3
sacred	34
sacredness	1
sacrifice	21
sacrificed	1
sacrifices	1
sacrificial	2
sacrificing	1
sad	4
saddens	1
saddle	3
safa	1
safe	5
safeguard	1
safely	2
safety	11
said	711
saidst	2
sail	6
sailing	2
saith	11
sake	4
salih	11
salsabil	1
salt	3
salutation	9
salutations	2
salute	3
saluted	1
salutes	1
salvation	10
samiri	3
sanctified	1
sanctify	6
sanctifying	2
sanctity	2
sanctuary	2
sand	6
sandy	1
sane	1
sarcastic	1
sat	2
satan	48
satisfaction	10
satisfied	2
satisfy	3
save	22
saved	27
saving	1
saw	38
sawest	2
say	776
sayest	2
saying	49
sayings	1
says	27
scald	1
scalded	1
scalding	1
scale	5
scales	2
scalp	1
scandal	2
scanty	1
scarce	1
scarcely	2
scare	1
scatter	7
scattered	15
scatters	2
scent	1
scheme	5
schism	4
schisms	4
scoff	3
scoffed	1
scoffers	2
scorching	3
scorn	1
scornfully	1
scourge	1
scowled	1
scratched	1
screen	7
scribe	5
scribes	1
scripture	14
scriptures	5
scroll	3
scrolls	2
scum	2
scuttled	2
sea	27
seal	12
sealed	7
search	2
searching	1
seas	2
season	3
seat	4
seated	1
second	7
secrecy	1
secret	25
secrete	1
secretly	6
secrets	19
sect	3
section	6
sections	2
sects	7
secure	21
securely	1
security	18
sedition	4
seduce	7
seduced	2
seducers	1
seductive	1
seed	7
seeds	1
seeing	26
seek	71
seekers	1
seekest	1
seeking	23
seeks	3
seemly	1
seen	17
sees	26
seest	39
seeth	9
seize	22
seized	30
seizes	3
select	1
self	34
selfish	4
sell	7
selves	6
send	87
sendeth	4
sending	2
sends	26
senior	1
sense	11
senses	1
sent	325
sentence	6
sentinel	1
separate	9
separated	1
separately	1
separates	1
separating	1
separatism	1
sepulchres	2
series	2
serpent	2
serried	1
servant	16
servants	93
serve	48
served	1
service	15
servitude	1
set	75
sets	12
setting	6
settle	5
settled	13
settlement	2
seven	26
seventy	3
severally	1
severe	19
severest	3
sew	2
sex	3
sexes	1
shade	9
shades	5
shadow	2
shadows	2
shake	6
shaken	4
shakes	1
shakiness	1
shaking	1
shall	659
shallow	1
shalt	17
shame	25
shameful	15
shape	8
shapes	3
share	32
shares	2
sharp	2
shave	1
shaved	1
shaving	1
sheath	1
sheaths	1
shed	4
sheep	3
sheets	1
shelter	5
sheltered	1
shepherds	1
shin	1
shine	2
shineth	1
shining	3
ship	2
ships	13
shirt	7
shoes	1
shook	1
shoots	2
shore	2
short	8
shorten	1
shortness	1
shouldst	10
shout	2
shouted	1
showed	11
shower	9
showers	4
showeth	2
showing	1
shown	13
shows	6
shreds	1
shrouded	1
shu	12
shun	5
shut	2
shutting	1
sick	1
sickle	1
sickness	1
sides	20
sigh	1
sighing	1
sighs	3
sight	73
sign	94
signals	1
signs	338
sijjin	2
silence	1
silent	4
silk	6
silver	10
similar	16
similarity	1
similarly	3
similes	1
similitude	21
similitudes	3
simple	1
simply	3
sin	72
sinai	7
sincerely	4
sincerity	3
sinful	9
sing	2
singing	1
single	49
singly	2
sink	1
sinned	1
sinner	4
sinners	18
sins	47
sip	2
sirius	1
sister	9
sisters	13
sit	16
site	1
sites	1
sitting	4
situated	1
situation	2
sixth	5
skies	14
skill	6
skilled	1
skins	9
skirts	1
skull	1
sky	47
slabs	1
slacken	2
slain	20
slake	1
slaked	1
slander	7
slanderer	1
slanders	1
slaughter	9
slaughtered	2
slave	12
slaves	5
slay	32
slaying	3
sleep	7
sleepers	1
sleeping	1
slept	1
slew	11
slewest	1
slightest	1
slip	3
slippery	1
slips	1
slit	2
slow	3
slowly	1
slumber	2
small	18
smelling	1
smiled	1
smite	6
smites	1
smitten	1
smoke	7
smooth	8
smoothly	3
smote	2
snake	3
snare	6
snatch	3
snatched	3
snatches	1
snout	1
soak	1
sobbing	1
sobs	1
sodom	1
soft	2
soften	1
soil	7
sojourn	2
sold	3
solemn	6
solemnly	5
